Origin,Max Growth (approx),Poisonous for pets,Temperature,Light,Watering,Soil,Re-Potting,Fertilizer,Humidity,Propagation,Common Problems,Common Name,Botanical Name
South America.,Height 30 in/75 cm.,Toxic to cats and dogs.,The amaryllis within the growing period (winter – spring) prefers temperatures of 70 – 75F°f (21 – 24°c) and from September – November (or early December) 55°f (13°c). After the plant as flowered the temperature can be kept at around 70 – 75F°f (21 – 24°c) which will keep the flower healthier longer.,Bright light without too much direct sunlight is preferable.,"During the growing and flowering period, water when the top inch of the soil becomes dry. Once the leaves are cut away you can stop watering for about 8 – 10 weeks (dormant period) or water sparingly until new growth appears. When new leaves appear water frequently again when the top inch of soil becomes dry. Overwatering may cause the bulb to rot.",You can use equal part perlite and peat or two parts loam soil and one part perlite. Your local garden store will offer other suitable options as well.,Your hippeastrum can be re-potted if the bulb seems to have outgrown the pot or every 2 years just before the dormant growing period (Nov – Dec). The pot size needs to be approximatively 2 inches wider each side of the bulb.,After the dormant period (Nov -Dec) begin feeding with a liquid fertilizer once every 2 weeks once you begin to see leaf shoots appearing. Continue until the leaves are cut down ready for the dormant period (Sept – Nov).,Normal room humidity is fine.,These can be propagated by seed (takes up to 5 years to mature and flower) or bulb offsets. Propagating with offsets takes about half the time to produce a mature plant that flowers compared to planting seeds (about 3 years).,,Amaryllis, Hippeastrum (botanical/scientific).
Eastern Africa.,Diameter (micro – 3in) – (large – 16in).,Non toxic dogs and cats.,Room temperatures of around 65°f / 16°c — 75°f / 24°c are ideal. Try not to allow temperatures to decrease lower than 60°f / 15.5°c and it’s advised to avoid cold drafts or abrupt temperature changes.,"The African violet thrives in bright light, although too much direct sunlight will cause leaf problems (edges turn yellow, patches, or develop holes). I have grown mine, at best – close to east facing windows, but many other people grow them close to the south facing side. Growers will use artificial lighting to encourage blooms during winter time, using fluorescent lighting tubes. However, many of us do not want to use lighting and have the expense when we are happy enough to see the spring and summer blooms.","Re-pot when needed (room temperature not below 70°F./21°C). I would always do this at least once every year, or even twice a year. There is no need to increase the pot size unless it becomes pot bound or has grown larger.",A fast draining soil mix is best to use. I actually use the African V soil mix with 1 part vermiculite because it’s cheap enough and easy to find in many stores.,"It’s wise to remove dying leaves, flowers and stems as soon as possible to encourage new growth. Remove new side shoots (suckers) as soon as they begin to grow as well. Removing crowns is to be done very carefully.","Fertilize every couple of weeks with a balanced fertilizer that’s urea-free. Or even better, a solution specifically for A.violets.","These need high humidity and plenty of gentle misting (with lukewarm water, not in direct sunlight and only the leaves) for healthy growth and to flower well. You can use a humidity tray to support the correct levels that need to have small pebbles or a layer of gravel at the bottom with water added below the surface.","A.voilets are propagated by leaf cuttings (Chimera AVs only by suckers), placed into a potting mix.",,African violet, Saintpaulia (botanical/scientific) .
South America.,4ft tall or more if not pruned.,Toxic for cats and dogs.,Average room temperatures of 55 – 75°F (13 – 24°C) are best suited for Begonias…and no less than 55°F.,"This plant is not in favor of direct sun. This is because the leaves are sensitive to getting scorched. In their natural habitat, most Begonias grow under cover. Bright light is best and during the winter some morning or late afternoon sun is fine.","From spring to fall you will need to water this plant often, especially while it’s in bloom. Keep the soil moist to the touch slightly, but do not overwater. During winter cut down watering and allow the top soil to become dry to the touch before watering again.",African Violet ready-made potting soil works well. Otherwise use a rich soilless well-draining potting mix.,"While the plant is young I would repot it every year in a pot slightly bigger. Once it matures every 2 years. Clay pots work well because they tend to release moisture easier, preventing root problems from stagnant water. An added benefit of using a clay pot is it will keep the plant more sturdy once it matures in height and prevent it from toppling over.",From spring to fall feed the plant while the soil is damp every 2 weeks. Use a high potassium diluted feed of 5-10-5. This seems to work well in keeping the leaves and flowers looking healthy.,"This plant enjoys a good amount of humidity. You can mist around the plant area, but I advise you not to water the leaves in case it causes spots or patches on them.",You may take a few inches (4 – 6in) or more of stem cuttings with or without a leaf attached and without flowers. You want a node or more on the stem where a new flower will begin to grow. The stem cutting can be placed in water or in perlite (use a rooting hormone with perlite) until growth appears then it can be potted in soil. I prefer to stick with placing it in water to see the roots form. These can also be grown from seed which is much more difficult for the average grower.,,Angel wing begonia, Begonia coccinea (botanical/scientific)
South Africa.,24in tall.,"Non toxic for cats, dogs and horses.",Average temperatures of 55 – 75°F (13 – 24°C) are suitable.,"A lover of direct sunlight and bright windowsills. Place close to a south, east or west facing window to provide enough sunlight.",It’s best to keep the soil moist at all times. Once the soil becomes slightly dry to the touch provide water straight away or the plant will begin to wilt very quickly.,A peat based potting mix with 2 parts peat and 1 part perlite is suggested.,,"While flowering, feed with a balanced liquid fertilizer every 2 weeks.","Gerbera’s quite like above average humidity levels, although average is absolutely fine.",These are mostly propagated with seeds although the parent plant can also be divided or root cuttings can be used.,,"Barberton, Gerbera, Transvaal Daisy", — Gebera Jamesonii (botanical/scientific)
South Mexico and Central America.,Height 2 – 3ft.,No.,"The Beach Spider Lily is capable of withstanding temperatures that drop into the 40ºF (4°C) range, and as high as 90ºF (32ºC). They must be protected against frosts by all means, or the plant will die back to the bulb stage.",This plant requires partial shade to full sun. Make certain it can get enough light from the pot location.,"Hymenocallis littoralis demands wet conditions all year long. The bulbs can be started in nothing except water, but need to be moved to soil once they begin to sprout. Soil should be kept moist, but never soggy. Do not allow standing water in the saucer underneath.",These plants prefer a standard potting soil mixed with bark or pumice at a 1:1 ratio. The pH of the soil chosen needs to be between 5.0 and 7.5 for the continued health of the plant.,"Every two years, this plant requires re-potting and an infusion of new soil. Move the plant to a size larger pot, and mix in new soil to fill the gaps. This should be done when the plant is not flowering.",You may fertilize your plant once every two weeks with a diluted balanced fertilizer. Seaweed based fertilizers have been reported to produce the best results.,"This plant is happy with normal air humidity, as long as its soil is properly moist. If the soil has been allowed to dry out, the leaves and flowers may be misted with a spray bottle to combat dehydration effects.",This plant is propagated either by seed or by dividing rhizomes. Maturity from seed takes several years. It is easier to break off a piece of the bulb and propagate from it.,,Spider Lily, Hymenocallis littoralis (botanical/scientific).
South Africa.,Height 24 in/60 cm.,Toxic to cats and dogs.,Temperatures from 65 – 75F°f (18 – 24°c) are best suited.,"Bright and direct sunlight is advisable. To stand any chance of getting the belladonna lily to flower it’s best to have the plant near a south-facing window, where it can get the most hours of sunshine.","Keep the soil moist (not soaked) during the growing and flowering period. During the rest period after the leaves have died down, do not water until the stalk appears and then begin watering as normal.",You can use equal part perlite and peat or two parts loam soil and one part perlite. Your local garden center may also be able to offer other suitable options. Make sure the bulb is planted within a large plant pot.,Re-pot in a fairly large pot that gives the plant plenty of room for it’s roots. Once every 2 -3 years should be fine.,"Once the leaves appear you can fertilize with a diluted liquid fertilizer once a month. Do not feed during the rest period and begin again once the stalk appears. Feeding will help belladonna lily plants to flower, however, it’s not necessary to do so and it’s much better to give less or none at all – than too much.",Normal room humidity is fine.,"These can be propagated by seed, bulb offsets or rhizome’s.",,"Belladonna lily, March lily and naked lady.", Amaryllis belladonna (botanical/scientific).
South Africa.,Height 6ft (can be kept to 3ft indoors).,"Mildly toxic for cats, dogs","The Bird of Paradise requires moderate temperatures year-round. They can tolerate temperatures as low as 55 ºF (13 ºC), but prefer to remain in the 70-90 ºF (21-32 ºC) range. Above 70 ºF (21 ºC), care instructions do change slightly.","This plant demands bright, yet indirect, sunlight year-round. Too much sunlight will injure the flowers. Above 70 ºF (21 ºC), this plant should be relocated to a partial shade environment in order to avoid sunburn on the flowers.","During the summer months, the soil should be kept moist through regular watering. Throughout the fall and winter, permit the soil to almost dry out before watering. Never permit water to stand in the saucer underneath the plant.",Strelitzia reginae does well in almost any type of soil. A standard potting soil will suffice for this plant’s continued health.,"Check the roots of this plant in the late winter. If the roots appear to be cramped in the current container, have someone assist you in moving it to a size larger pot. Be careful not to injure the spathe during the transplant process. Also, re-pot young plants which are growing early spring.",Offer this plant a balanced fertilizer every two weeks throughout the spring and summer. During the fall and winter months fertilization to once every month.,"This plant prefers normal air humidity inside the home. During the winter months, you can mist the leaves of the plants to simulate rainfall, which will also improve humidity during the months that artificial heating is used.","The Strelitzia can be propagated from seeds or by division. The seeds are woody, brown and small, with tufts of orange on them. When propagating from seed, it will take the newly formed plant up to three years to begin blooming. When propagated by division, the process interrupts the growth cycle of the parent plant, resulting in a year without blooms.",,"Bird of Paradise, Strelitzia, Crane Flower common). Strelitzia Reginae (botanical/scientific).",
South America.,Height 18 in/45 cm.,"Non toxic for cats, dogs",Average to just above average temperatures of 65 – 80ºF (18 – 27ºC) are best suited. Avoid lower than 55ºF (13ºC).,A lover of bright light. A combination of some sun and shade provided throughout the day is advised or filtered sun.,Fill the center vase with water – using distilled or rain-sourced water and change it every four to six weeks. The soil needs to be kept slightly moist but not soaked.,This bromeliad does not need a lot of feeding. Once a month you can add a diluted liquid fertilizer (half the recommended strength on the instructions) to your misting bottle. Overfeeding can cause leaf color loss.,"You will only need to re-pot if the container used is no longer large enough. It’s worth renewing the soil once a year, but if the soil mix has nutrients added to it – do not feed for the next month or two.","Providing average to above-average humidity is advisable. To improve levels during summer or when artificial heating is used, you can mist the leaves, or provide a humidity tray for the plant and it’s container to sit on. If you notice the leaves turning brown and dry this could be caused by dry air (lack of humidity).","Once the plant has flowered the mother plant will begin to die and produce pups – rather than grow its leaves any further. These offsets are removed and used to create new plants by cutting them off as close to the main plant as possible, usually when they begin to grow roots or they’re about a third of the size of the mother plant.","Once the plant has flowered the mother plant will begin to die and produce pups – rather than grow it’s leaves any further. These offsets are removed and used to create new plants by cutting them off as close to the main plant as possible, usually when they begin to grow roots or they’re about a third of the size of the mother plant.",,Blushing bromeliad, Neoregelia carolinae (botanical/scientific).
East Africa.,24in (60cm) in height.,Non-toxic to cats and dogs.,Average room temperatures from 65°F/18.3°C – 75°F/23.8°C (not below 60°F/15.5°C).,Bright light is key to these blooming and during winter. Direct sun light is be to avoided during the summer.,Keep the soil moist at all times but not soaking wet. During the growing season you will notice they drink a lot.,A well draining potting soil mix will suffice.,"Re-pot during spring if the plant has become pot bound, but keep in mind the patient lucy likes plenty of roots in it’s pot. When re-potting use a pot slightly bigger than the last one the plant resided in – with plenty of drainage holes.",Impatiens walleriana’s grow well when fed with a balanced liquid fertilizer during spring and summer. I would say feeding once every 4 weeks is about right.,Most indoor humidly levels are fine for this plant.,Stem cuttings (3 -5 inches) can be taken at any time of the year and re-potted to produce new busy lizzies. These can also be grown by seed which are sown during spring.,,Busy Lizzie and Impatient Lucy, — Impatiens Walleriana (botanical/scientific).
South Africa.,Flower stalk 3ft (90cm) in height.,Calla lilies are toxic to cats and dogs.,"These calla lily flowers can be rather picky about their temperatures. For ideal growing conditions expose the bulbs to days no hotter than 60°F and no colder than 55°F. The above-ground plant can tolerate temperatures as high as 70°F. If your home is hot, use mulch to keep the bulb cooler in its pot.",Full sun or partial shade when outdoors.  Indoors bright indirect light unless they are used to the direct sunlight.,This plant requires plenty of bright sunlight during non-peak hours of the day. Provide it with a sunny window facing east or west for best results.  They can handle full or partial sun once acclimated.,Standard potting soil is a good mixture for this plant. Avoid potting soils with an unbalanced pH or too much fertilizer mixed in.,"This plant takes to re-potting well. Simply dig the plant out of the soil, including the entire bulb. Replant the bulb with the shoots pointing up at least three inches deep in the soil. Cover, and water once. Wait until new growth is evident before watering again.","Normally it doesn’t need fertilizer. If you desire better growth, use a fertilizer with no ammonium in it. Use this in a mixture of 1 part fertilizer to 1 gallon of water (1:1) in the growing season, and fertilize once every two weeks for a single season only. Continued fertilization for long periods of time will harm the plant.","Normal room humidity is acceptable for this plant, as long as the soil is kept moist. This is especially true during winter.","They can reproduce through seeds and vegetatively via rhizomes. If the plant is fertilized, small black berries will form. These can be dried out and planted in three inches of potting soil. This will form new bulbs.Otherwise, you can dig up the rhizome and break off a section of it. Permit this to dry for two days, then plant with the non-smooth side up and water according to re-potting instructions. You can also plant the rhizomes outside if you are in the right temperature zone after the soil has warmed. Favorable growing seasons are late spring and early summer.",,Calla lily, — Zantedeschia aethiopica (botanical/scientific).
