Botanical Name,Common Name,Family,Plant Type,Origin,Maintenance,Height,Width,Light,Bloom season,Water needs,Soil,Tolerant,Toxicity,Hardiness (USDA),Bloom color,Common Name,Synonyms,Genus,Type,Native Range,USDA Hardiness Zones,Mature Size,Bloom Time,Foliage,Propagation methods,Sun,Synonym,Blooms,Common Cultivars,Botanical name,Common Cultivars,Humidity,Cultivars,Common Varieties
Dudleya caespitosa ,Coast Dudleya,Crassulaceae,Succulent,California,Low,4-8 inches,4-8 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-11,,,,,,,,,,,,,,,,,,,,
Agave marmorata,"Marbled Agave, Marbled Century Plant",Asparagaceae,Succulent,"Mexico, Southeastern USA",Low,3-4 feet,4-5 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,9-11,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Aeonium haworthii ‘Kiwi’,Aeonium ‘Kiwi’,Crassulaceae,Succulent,Canary Islands,Low,2-3 feet,2-3 feet,"Full sun, Partial shade",Summer,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought",Non-toxic,10-11,Yellow,,,,,,,,,,,,,,,,,,,
Tulista pumila (formerly Haworthia pumila),,Asphodelaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Pearl Plant, Pearly Dots, Miniature Aloe",Haworthia margaritifera,Tulista,Succulent,South Africa (Western Cape),10a to 11b,"Height: 3-4 inches, Spread: up to 6 inches",Summer,Evergreen,"by offsets, by cuttings",Full sun to Part shade,,,,,,,,
Agave colorata,Mescal Ceniza,Asparagaceae,Succulent,Mexico,Low,1-3 feet,2-4 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,,"Yellow, Orange",,,,,,,,,,,,,,,,,,,
Delosperma ‘Wheels of Wonder – Golden Wonder’ ,Delosperma ‘Golden Wonder’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,1-2 feet,"Bright, Direct light",Summer,Low,Well-Drained,Drought,Non-Toxic,6-10,,,,,,,,,,,,,,,,,,,,
Aeonium ‘Jack Catlin’,"Aeonium ‘Jack Catlin’, Red Aeonium",Crassulaceae ,Succulent,"Hybrid, Garden origin",Low,1-2 feet,1-2 feet,Full sun,Late Spring,Low to Average,"Well-drained, Loam, Sand","Drought, Salt, Deer",No,9b-11b,Yellow,,,,,,,,,,,,,,,,,,,
Delosperma cooperi ‘Wheels of Wonder – White Wonder’,Delosperma ‘White Wonder’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring (Late), Summer, Autumn, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-10,,,,,,,,,,,,,,,,,,,,
Tillandsia xerographica,,Bromeliaceae,,,,,,,,,,,Non-Toxic,,,"Xerographica Air Plant, King of Air Plants","Tillandsia kruseana, Tillandsia xerographica, Tillandsia tomasellii",Tillandsia,Epiphyte,"Mexico, Guatemala, El Salvador, Honduras",9b to 11a,Height: 1-3 feet; Spread: 1-3 feet,"Spring, Summer",Leathery Evergreen,"by seed, by division",Full sun to Partial Shade,,,,,,,,
Epipremnum aureum,"Golden Pothos, Devil’s Vine, Devil’s Ivy, Taro Vine, Money Plant",Araceae,Evergreen Vine,"South Africa, Australia, Southeast Asia, South Asia, Pacific Islands, West Indies",Low,20-40 feet,3-6 feet,"Bright, Indirect Light",Rare,"Low, Moderate","Well-Drained, Loamy","Drought, Low-light",Toxic,10-12,,,,,,,,,,,,,,,,,,,,
